Programming name,Short name,Long name,Long name (FR),Category,Subcategory,Set,Unit_ref,Color
PLANE_LH_BIO,Bio-Jet Fuel-Powered Long Haul Passenger Plane,Bio-Jet Fuel-Powered Long Haul Passenger Plane,Avion long-courrier au biocarburant,Public Mobility,Air,,pkm/h,#ECC653
PLANE_SH,Plane short haul,Jet Fuel-Powered Passenger Plane,Avion au carburéacteur,Public Mobility,Air,,pkm/h,#B91C1C
PLANE_SH_BIO,Bio-Jet Fuel-Powered Short Haul Passenger Plane,Bio-Jet Fuel-Powered Passenger Plane,Avion au biocarburant,Public Mobility,Air,,pkm/h,#CA8A04
POLYPROPYLENE_PP,Polypropylene PP,Polypropylene Production,Production de polypropylène,Specific sectors,Chemical,,kt/h,#9288B0
PP,Polypropylene,Polypropylene,Polypropylène,Resource,Resource,,kt,#8E83AD
PROPANE,Propane,Propane,Propane,Resource,Resource,,kt,#8A4F28
PROPYLENE,Propylene,Propylene,Propylène,Resource,Resource,,kt,#A39BBC
PS,Polystyrene,Polystyrene,Polystyrène,Resource,Resource,,kt,#968DB3
PUMPED_HYDRO,Pumped Hydro,Pumped Hydro Power Plant,Centrale hydroélectrique par pompage-turbinage,Electricity Production,Hydro,,kW,#5695E1
PV_GROUND,PV_GROUND,Open Ground Photovoltaic Solar Energy,Énergie solaire photovoltaïque au sol,Electricity Production,Solar,,kW,#FACA2C
PV_ROOF,PV_ROOF,Slanted-Roof Photovoltaic Solar Energy,Énergie solaire photovoltaïque sur toit incliné,Electricity Production,Solar,,kW,#FBD96A
PVC,Polyvinyl chloride,Polyvinyl chloride,Chlorure de polyvinyle,Resource,Resource,,kt,#9F96B9
PVC_FORMATION,PVC Formation,Polyvinyl Chloride Formation,Formation de chlorure de polyvinyle,Specific sectors,Chemical,,kt/h,#9B92B6
PYROLYSIS,Pyrolysis,Pyrolysis Process,Procédé de pyrolyse,Bioprocesses,Synfuel,,kW,#D6955C
SCHOOLBUS_BIODIESEL_B100,School Bus BioDiesel,100% BioDiesel-Powered School Bus,Autobus scolaire au biodiesel 100%,Public Mobility,Road,CA,pkm/h,#966715
SCHOOLBUS_BIODIESEL_B20,School Bus BioDiesel 20%,20% BioDiesel-Powered School Bus,Autobus scolaire au biodiesel 20%,Public Mobility,Road,CA,pkm/h,#CF8E1E
SCHOOLBUS_BIOETOH_E10,School Bus BioEthanol 10%,10% BioEthanol-Powered School Bus,Autobus scolaire au bioéthanol 10%,Public Mobility,Road,CA,pkm/h,#FDE68A
SCHOOLBUS_CNG,School Bus CNG,Compressed Natural Gas-Powered School Bus,Autobus scolaire au gaz naturel comprimé,Public Mobility,Road,CA,pkm/h,#4B697D
SCHOOLBUS_CSNG,School Bus CSNG,Compressed Synthetic Natural Gas-Powered School Bus,Autobus scolaire au gaz naturel synthétique comprimé,Public Mobility,Road,CA,pkm/h,#A1ADB5
SCHOOLBUS_DIESEL,School Bus Diesel,Diesel-Powered School Bus,Autobus scolaire au diesel,Public Mobility,Road,CA,pkm/h,#98551B
SCHOOLBUS_ETOH_E10,School Bus Ethanol 10%,10% Ethanol-Powered School Bus,Autobus scolaire à l'éthanol 10%,Public Mobility,Road,CA,pkm/h,#D4956A
SCHOOLBUS_EV,School Bus Electric,Electric-Powered School Bus,Autobus scolaire électrique,Public Mobility,Road,CA,pkm/h,#FFDC17
SCHOOLBUS_FC_CH4,School Bus Methane FC,Methane Fuel Cell-Powered School Bus,Autobus scolaire à pile à combustible méthane,Public Mobility,Road,CA,pkm/h,#4CC5CB
SCHOOLBUS_GASOLINE,School Bus Gasoline,Gasoline-Powered School Bus,Autobus scolaire à essence,Public Mobility,Road,CA,pkm/h,#C2855A
SCHOOLBUS_HY_DIESEL,School Bus Hybrid Diesel,Diesel Hybrid School Bus,Autobus scolaire hybride diesel,Public Mobility,Road,CA,pkm/h,#97D042
SCHOOLBUS_PROPANE,School Bus Propane,Propane-Powered School Bus,Autobus scolaire au propane,Public Mobility,Road,,pkm/h,#C87943
SEMI_LH_BIODIESEL_B100,Semi BioDiesel LD,100% BioDiesel-Powered Long Distance Semi-trailer truck,Semi-remorque longue distance au biodiesel 100%,Freight transport,Road,CA,tkm/h,#895E14
SEMI_LH_BIODIESEL_B20,Semi BioDiesel 20% LD,20% BioDiesel-Powered Long Distance Semi-trailer truck,Semi-remorque longue distance au biodiesel 20%,Freight transport,Road,CA,tkm/h,#C2851C
SEMI_LH_CNG,Semi CNG LD,Compressed Natural Gas-Powered Long Distance Semi-trailer truck,Semi-remorque longue distance au gaz naturel comprimé,Freight transport,Road,CA,tkm/h,#7A96AA
SEMI_LH_CSNG,Semi CSNG LD,Compressed Synthetic Natural Gas-Powered Long Distance Semi-trailer truck,Semi-remorque longue distance au gaz naturel synthétique comprimé,Freight transport,Road,CA,tkm/h,#95A3AC
SEMI_LH_DIESEL,Semi Diesel LD,Diesel-Powered Long Distance Semi-trailer truck,Semi-remorque longue distance au diesel,Freight transport,Road,CA,tkm/h,#894D18
SEMI_LH_EV,Semi Electric LD,Electric-Powered Long Distance Semi-trailer truck,Semi-remorque longue distance électrique,Freight transport,Road,CA,tkm/h,#F6D100
SEMI_LH_FC_CH4,Semi Methane FC LD,Methane Fuel Cell-Powered Long Distance Semi-trailer truck,Semi-remorque longue distance à pile à combustible méthane,Freight transport,Road,CA,tkm/h,#3EC0C7
SEMI_LH_FC_H2,Semi Hydrogen FC LD,Hydrogen Fuel Cell-Powered Long Distance Semi-trailer truck,Semi-remorque longue distance à pile à combustible hydrogène,Freight transport,Road,CA,tkm/h,#0E7EA6
SEMI_LH_HY_DIESEL,Semi Hybrid Diesel LD,Diesel Hybrid Long Distance Semi-trailer truck,Semi-remorque longue distance hybride diesel,Freight transport,Road,CA,tkm/h,#8DC932
SEMI_LH_PROPANE,Semi Propane LD,Propane-Powered Long Distance Semi-trailer truck,Semi-remorque longue distance au propane,Freight transport,Road,,tkm/h,#BC6C37
SEMI_SH_BIODIESEL_B100,Semi BioDiesel SD,100% BioDiesel-Powered Short Distance Semi-trailer truck,Semi-remorque courte distance au biodiesel 100%,Freight transport,Road,CA,tkm/h,#713F12
SEMI_SH_BIODIESEL_B20,Semi BioDiesel 20% SD,20% BioDiesel-Powered Short Distance Semi-trailer truck,Semi-remorque courte distance au biodiesel 20%,Freight transport,Road,CA,tkm/h,#D6921F
SEMI_SH_CNG,Semi CNG SD,Compressed Natural Gas-Powered Short Distance Semi-trailer truck,Semi-remorque courte distance au gaz naturel comprimé,Freight transport,Road,CA,tkm/h,#9BB0C4
SEMI_SH_CSNG,Semi CSNG SD,Compressed Synthetic Natural Gas-Powered Short Distance Semi-trailer truck,Semi-remorque courte distance au gaz naturel synthétique comprimé,Freight transport,Road,CA,tkm/h,#A6B2B9
SEMI_SH_DIESEL,Semi Diesel SD,Diesel-Powered Short Distance Semi-trailer truck,Semi-remorque courte distance au diesel,Freight transport,Road,CA,tkm/h,#9F591C
SEMI_SH_EV,Semi Electric SD,Electric-Powered Short Distance Semi-trailer truck,Semi-remorque courte distance électrique,Freight transport,Road,CA,tkm/h,#FFDE22
SEMI_SH_FC_CH4,Semi Methane FC SD,Methane Fuel Cell-Powered Short Distance Semi-trailer truck,Semi-remorque courte distance à pile à combustible méthane,Freight transport,Road,CA,tkm/h,#53C7CD
SEMI_SH_FC_H2,Semi Hydrogen FC SD,Hydrogen Fuel Cell-Powered Short Distance Semi-trailer truck,Semi-remorque courte distance à pile à combustible hydrogène,Freight transport,Road,CA,tkm/h,#52B3D4
SEMI_SH_HY_DIESEL,Semi Hybrid Diesel SD,Diesel Hybrid Short Distance Semi-trailer truck,Semi-remorque courte distance hybride diesel,Freight transport,Road,CA,tkm/h,#BEF264
SEMI_SH_PROPANE,Semi Propane SD,Propane-Powered Short Distance Semi-trailer truck,Semi-remorque courte distance au propane,Freight transport,Road,,tkm/h,#CB804D
SMART_PROCESS,Smart Processes,Implementation of SMART Process from ethylbenzene to styrene,Mise en œuvre du procédé SMART de l'éthylbenzène au styrène,Specific sectors,Chemical,,kt/h,#786C9D
SMR,Steam Methane Reforming,Steam Methane Reforming,Reformage vapeur du méthane,Hydrogen Production,Hydrogen,,kW,#67E8F9
SMR_CCS,Steam Methane Reforming CC,Steam Methane Reforming with Carbon Capture,Reformage vapeur du méthane avec captage de CO2,Hydrogen Production,Hydrogen,,kW,#D7EEF4
SNG_COMP_HE,SNG Comp. HE,Synthetic Natural Gas Compression from High Pressure to Extra High Pressure,Compression de gaz naturel synthétique de haute pression à très haute pression,Infrastructure,Natural Gas,,kW,#98A8B3
SNG_COMP_LM,SNG Comp. LM,Synthetic Natural Gas Compression from Low Pressure to Medium Pressure,Compression de gaz naturel synthétique de basse pression à pression moyenne,Infrastructure,Natural Gas,,kW,#A0AEB9
SNG_COMP_MH,SNG Comp. MH,Synthetic Natural Gas Compression from Medium Pressure to High Pressure,Compression de gaz naturel synthétique de pression moyenne à haute pression,Infrastructure,Natural Gas,,kW,#A7B5BE
SNG_EHP,Synthetic natural gas,Synthetic natural gas,Gaz naturel synthétique,Resource,Resource,,kWh,#C9D0D4
SNG_HP,Synthetic natural gas,Synthetic natural gas,Gaz naturel synthétique,Resource,Resource,,kWh,#C9D0D4
SNG_MP,Synthetic natural gas,Synthetic natural gas,Gaz naturel synthétique,Resource,Resource,,kWh,#C9D0D4
SNG_LP,Synthetic natural gas,Synthetic natural gas,Gaz naturel synthétique,Resource,Resource,,kWh,#C9D0D4
SNG_EXP_EH,SNG Exp. EH,Synthetic Natural Gas Expansion from Extra High Pressure to High Pressure,Détente de gaz naturel synthétique de très haute pression à haute pression,Infrastructure,Natural Gas,,kW,#AFBBC4
SNG_EXP_EH_COGEN,SNG Exp. Cogen. EH,Synthetic Natural Gas Expansion with Cogeneration from Extra High Pressure to High Pressure,Détente de gaz naturel synthétique avec cogénération de très haute pression à haute pression,Infrastructure,Natural Gas,,kW,#C5CED4
SNG_EXP_HM,SNG Exp. HM,Synthetic Natural Gas Expansion from High Pressure to Medium Pressure,Détente de gaz naturel synthétique de haute pression à pression moyenne,Infrastructure,Natural Gas,,kW,#B6C1C9
SNG_EXP_HM_COGEN,SNG Exp. Cogen. HM,Synthetic Natural Gas Expansion with Cogeneration from High Pressure to Medium Pressure,Détente de gaz naturel synthétique avec cogénération de haute pression à pression moyenne,Infrastructure,Natural Gas,,kW,#CDD4DA
SNG_EXP_ML,SNG Exp. ML,Synthetic Natural Gas Expansion from Medium Pressure to Low Pressure,Détente de gaz naturel synthétique de pression moyenne à basse pression,Infrastructure,Natural Gas,,kW,#BEC8CF
SNG_EXP_ML_COGEN,SNG Exp. Cogen. ML,Synthetic Natural Gas Expansion with Cogeneration from Medium Pressure to Low Pressure,Détente de gaz naturel synthétique avec cogénération de pression moyenne à basse pression,Infrastructure,Natural Gas,,kW,#D4DBDF
SNG_NG,SNG production,Conversion of Synthetic Natural Gas to Natural Gas,Conversion du gaz naturel synthétique en gaz naturel,Bioprocesses,Synfuel,,kW,#B8C1C7
SNG_PYROLYSIS_PLASMA,Plasma Synthetic Natural Gas Pyrolysis,Plasma Synthetic Natural Gas Pyrolysis,Pyrolyse plasma du gaz naturel synthétique,Hydrogen Production,Hydrogen,,kW,#A8B8C2
SNG_PYROLYSIS_THERMAL,Thermal Synthetic Natural Gas Pyrolysis,Thermal Synthetic Natural Gas Pyrolysis,Pyrolyse thermique du gaz naturel synthétique,Hydrogen Production,Hydrogen,,kW,#D4DADD
SNG_REFORMING,SNG Reforming,Synthetic Natural Gas Reforming,Reformage du gaz naturel synthétique,Infrastructure,Natural Gas,,kW,#DCE1E5
SNG_STO,SNG to Storage,Synthetic Natural Gas to Storage,Gaz naturel synthétique vers stockage,Chemical Storage,Natural Gas,,kW,#5E88BA
SOEC_ELECTROLYSIS,SOEC Electrolysis,Solid Oxide Electrolysis Cell Electrolysis,Électrolyse à cellule à oxyde solide,Bioprocesses,Hydrogen,,kW,#22D3EE
SOEC_OG,SOEC Electrolysis OG,Solid Oxide Electrolysis Cell Electrolysis Off-Grid,Électrolyse à cellule à oxyde solide hors réseau,Hydrogen Production,Hydrogen,,kW,#BAEDF7
SOFC,SOFC,Solid Oxide Fuel Cell,Pile à combustible à oxyde solide,Electricity Production,Hydrogen,,kW,#B78CEF
SOFC_OG,SOFC OG,Solid Oxide Fuel Cell Off-Grid,Pile à combustible à oxyde solide hors réseau,Electricity Production,Hydrogen,,kW,#C7A6F2
STEEL,Steel,Steel,Acier,Flow,Flow,,kt,
STEEL_MAKING,Steel Making,Steel Production,Production d'acier,Specific sectors,Steel,,kt/h,#748698
STEEL_MAKING_HP,Steel Making HP,Steel Production with Heat Pump,Production d'acier avec pompe à chaleur,Specific sectors,Steel,,kt/h,#FCE2CF
STEEL_MAKING_HR,Steel Making HR,Steel Production with Heat Recovery,Production d'acier avec récupération de chaleur,Specific sectors,Steel,,kt/h,#8696A6
STEEL_MAKING_ORC,Steel Making ORC,Steel Production with Organic Rankine Cycle,Production d'acier avec cycle de Rankine organique,Specific sectors,Steel,,kt/h,#98A6B3
STO_CO2,CO2 Storage (output),CO2 Storage (output),Stockage de CO2 (sortie),CCUS,Storage,,ktCO2_eq/h,#226574
STO_DIE,Storage to Diesel,Storage to Diesel,Stockage vers diesel,Chemical Storage,Fuel,,kW,#4C79B1
STO_ELEC,Storage Elec.,Storage Electricity,Stockage d'électricité,Electricity Storage,Electricity,CA,kW,#4975AA
STO_GASO,Storage to Gasoline,Storage to Gasoline,Stockage vers essence,Chemical Storage,Fuel,,kW,#DB7C57
STO_H2,Storage to H2,Storage to Hydrogen,Stockage vers hydrogène,Chemical Storage,Hydrogen,,kW,#517EB5
STO_NG,Storage to NG,Storage to Natural Gas,Stockage vers gaz naturel,Chemical Storage,Natural Gas,,kW,#5883B7
STO_SNG,Storage to SNG,Storage to Synthetic Natural Gas,Stockage vers Synthetic Natural Gas,Chemical Storage,Natural Gas,,kW,#5E88BA
STYRENE,Styrene,Styrene,Styrène,Resource,Resource,,kWh,#ACA4C3
STYRENE_POLYMERIZATION,Styrene Polymerization,Styrene Polymerization Process,Procédé de polymérisation du styrène,Specific sectors,Chemical,,kt/h,#B0A9C6
SUV_BIODIESEL_B100,SUV BioDiesel,100% BioDiesel-Powered Sport Utility Vehicle,VUS au biodiesel 100%,Private Mobility,Car,CA,pkm/h,#A36F17
SUV_BIODIESEL_B20,SUV BioDiesel 20%,20% BioDiesel-Powered Sport Utility Vehicle,VUS au biodiesel 20%,Private Mobility,Car,CA,pkm/h,#E09A23
SUV_BIOETOH_E10,SUV BioEthanol 10%,10% BioEthanol-Powered Sport Utility Vehicle,VUS au bioéthanol 10%,Private Mobility,Car,CA,pkm/h,#6D411B
SUV_BIOETOH_E85,SUV BioEthanol 85%,85% BioEthanol-Powered Sport Utility Vehicle,VUS au bioéthanol 85%,Private Mobility,Car,CA,pkm/h,#8A5322
SUV_CNG,SUV CNG,Compressed Natural Gas-Powered Sport Utility Vehicle,VUS au gaz naturel comprimé,Private Mobility,Car,CA,pkm/h,#54758D
SUV_CSNG,SUV CSNG,Compressed Synthetic Natural Gas-Powered Sport Utility Vehicle,VUS au gaz naturel synthétique comprimé,Private Mobility,Car,CA,pkm/h,#B2BCC2
SUV_DIESEL,SUV Diesel,Diesel-Powered Sport Utility Vehicle,VUS au diesel,Private Mobility,Car,CA,pkm/h,#AD611F
SUV_ETOH_E10,SUV Ethanol 10%,10% Ethanol-Powered Sport Utility Vehicle,VUS à l'éthanol 10%,Private Mobility,Car,CA,pkm/h,#834E21
SUV_ETOH_E85,SUV Ethanol 85%,85% Ethanol-Powered Sport Utility Vehicle,VUS à l'éthanol 85%,Private Mobility,Car,CA,pkm/h,#985B26
SUV_EV,SUV Electric,Electric-Powered Sport Utility Vehicle,VUS électrique,Private Mobility,Car,CA,pkm/h,#7A6A00
SUV_FC_CH4,SUV Methane FC,Methane Fuel Cell-Powered Sport Utility Vehicle,VUS à pile à combustible méthane,Private Mobility,Car,CA,pkm/h,#61CBD1
SUV_FC_H2,SUV Hydrogen FC,Hydrogen Fuel Cell-Powered Sport Utility Vehicle,VUS à pile à combustible hydrogène,Private Mobility,Car,CA,pkm/h,#5CB8D6
SUV_GASOLINE,SUV Gasoline,Gasoline-Powered Sport Utility Vehicle,VUS à essence,Private Mobility,Car,CA,pkm/h,#D87046
SUV_HY_GASOLINE,SUV Hybrid Gasoline,Gasoline Hybrid Sport Utility Vehicle,VUS hybride à essence,Private Mobility,Car,CA,pkm/h,#A5D65C
SUV_PHEV_GASOLINE,SUV Plug-in Hybrid Gasoline,Plug-in Hybrid Gasoline-Powered Sport Utility Vehicle,VUS hybride rechargeable à essence,Private Mobility,Car,CA,pkm/h,#C7E699
SUV_PROPANE,SUV Propane,Propane-Powered Sport Utility Vehicle,VUS au propane,Private Mobility,Car,CA,pkm/h,#D18E61
TIDAL,Tidal,Tidal power,Énergie marémotrice,Electricity Production,Hydro,,kW,#7DADE8
TOLUENE,Toluene,Toluene,Toluène,Resource,Resource,,kWh,#B5AEC9
TRAFO_EH,Transformer EH,Extra High to High Voltage Transformer,Transformateur très haute tension vers haute tension,Infrastructure,Electricity,,kW,#9DC2EE
TRAFO_HE,Transformer HE,High to Extra High Voltage Transformer,Transformateur haute tension vers très haute tension,Infrastructure,Electricity,,kW,#A8C8F0
TRAFO_HM,Transformer HM,High to Medium Voltage Transformer,Transformateur haute tension vers moyenne tension,Infrastructure,Electricity,,kW,#B3CFF2
TRAFO_LM,Transformer LM,Low to Medium Voltage Transformer,Transformateur basse tension vers moyenne tension,Infrastructure,Electricity,,kW,#BED6F4
TRAFO_MH,Transformer MH,Medium to High Voltage Transformer,Transformateur moyenne tension vers haute tension,Infrastructure,Electricity,,kW,#C9DDF5
TRAFO_ML,Transformer ML,Medium to Low Voltage Transformer,Transformateur moyenne tension vers basse tension,Infrastructure,Electricity,,kW,#D4E4F7
TRAIN_BIODIESEL,Train BioDiesel,BioDiesel-Powered Train,Train au biodiesel,Public Mobility,Rail,,pkm/h,#E1A030
TRAIN_DIESEL,Train Diesel,Diesel-Powered Train,Train au diesel,Public Mobility,Rail,,pkm/h,#B56520
TRAIN_ELEC,Train Electric,Electric-Powered Train,Train électrique,Public Mobility,Rail,,pkm/h,#A89200
TRAIN_FREIGHT,Train Freight Elec,Electric-Powered Freight Train,Train de fret électrique,Freight transport,Rail,,tkm/h,#E0BF00
TRAIN_FREIGHT_BIODIESEL,Train Freight Biodiesel,Biodiesel-Powered Freight Train,Train de fret au biodiesel,Freight transport,Rail,,tkm/h,#EAB308
TRAIN_FREIGHT_DIESEL,Train Freight Diesel,Diesel-Powered Freight Train,Train de fret au diesel,Freight transport,Rail,,tkm/h,#7B4516
TRAIN_FREIGHT_ELEC,Train Freight Elec,Electric-Powered Freight Train,Train de fret électrique,Freight transport,Rail,,tkm/h,#E0BF00
TRAIN_FREIGHT_H2,Train Freight Hydrogen,Hydrogen-Powered Freight Train,Train de fret à l'hydrogène,Freight transport,Rail,,tkm/h,#66BCD9
TRAIN_FREIGHT_H2_HYBRID,Train Freight Hybrid Bat. FC,Hybrid Battery-Fuel Cell-Powered Freight Train,Train de fret hybride batterie-pile à combustible,Freight transport,Rail,,tkm/h,#33A6CC
TRAIN_FREIGHT_NG,Train Freight Natural Gas,Natural Gas-Powered Freight Train,Train de fret au gaz naturel,Freight transport,Rail,,tkm/h,#A8BDCB
TRAIN_FREIGHT_SNG,Train Freight Synthetic Natural Gas,Natural Synthetic Gas-Powered Freight Train,Train de fret au gaz naturel synthétique,Freight transport,Rail,,tkm/h,#BDC6CB
TRAIN_H2,Hydrogen Train,Hydrogen-Powered Train,Train à l'hydrogène,Public Mobility,Rail,CA,pkm/h,#70C1DB
TRAIN_NG,Train Natural Gas,Natural Gas-Powered Train,Train au gaz naturel,Public Mobility,Rail,,pkm/h,#B0C2D0
TRAIN_PUB,Train Elec Pax,Electric-Powered Passenger Train,Train de passagers électrique,Public Mobility,Rail,,pkm/h,#FFDB0C
TRAIN_SNG,Train Synthetic Natural Gas,Synthetic Natural Gas-Powered Train,Train au gaz naturel synthétique,Public Mobility,Rail,,pkm/h,#C3CBD0
TRAMWAY,Tramway,Tramway,Tramway,Public Mobility,Rail,,pkm/h,#FFE342
TRAMWAY_TROLLEY,Tramway,Tramway Trolley System,Système de tramway trolley,Public Mobility,Rail,,pkm/h,#FFE44D
TRUCK,Truck Diesel,Diesel-Powered Truck,Camion au diesel,Freight transport,Road,,tkm/h,#BC6921
TRUCK_CO2,Truck Diesel,Diesel-Powered Truck with Carbon Capture,Camion au diesel avec captage de CO2,Freight transport,Road,,tkm/h,#37A5BE
TRUCK_EV,Truck Electric,Electric-Powered Truck,Camion électrique,Freight transport,Road,CA,tkm/h,#FFE137
TRUCK_FC,Truck Fuel Cell,Fuel Cell-Powered Truck,Camion à pile à combustible,Freight transport,Road,CA,tkm/h,#32A7AE
TRUCK_LH_BIODIESEL_B100,Truck BioDiesel LD,100% BioDiesel-Powered Long Distance Truck,Camion longue distance au biodiesel 100%,Freight transport,Road,CA,tkm/h,#8F6214
TRUCK_LH_BIODIESEL_B20,Truck BioDiesel 20% LD,20% BioDiesel-Powered Long Distance Truck,Camion longue distance au biodiesel 20%,Freight transport,Road,CA,tkm/h,#C98A1D
TRUCK_LH_CNG,Truck CNG LD,Compressed Natural Gas-Powered Long Distance Truck,Camion longue distance au gaz naturel comprimé,Freight transport,Road,CA,tkm/h,#476276
TRUCK_LH_CSNG,Truck CSNG LD,Compressed Synthetic Natural Gas-Powered Long Distance Truck,Camion longue distance au gaz naturel synthétique comprimé,Freight transport,Road,CA,tkm/h,#9BA8B0
TRUCK_LH_DIESEL,Truck Diesel LD,Diesel-Powered Long Distance Truck,Camion longue distance au diesel,Freight transport,Road,CA,tkm/h,#905119
TRUCK_LH_EV,Truck Electric LD,Electric-Powered Long Distance Truck,Camion longue distance électrique,Freight transport,Road,CA,tkm/h,#FFD901
TRUCK_LH_FC_CH4,Truck Methane FC LD,Methane Fuel Cell-Powered Long Distance Truck,Camion longue distance à pile à combustible méthane,Freight transport,Road,CA,tkm/h,#45C2C9
TRUCK_LH_GASOLINE,Truck Gasoline LD,Gasoline-Powered Long Distance Truck,Camion longue distance à essence,Freight transport,Road,CA,tkm/h,#CB592B
TRUCK_LH_HY_DIESEL,Truck Hybrid Diesel LD,Diesel Hybrid Long Distance Truck,Camion longue distance hybride diesel,Freight transport,Road,CA,tkm/h,#92CD39
TRUCK_LH_PROPANE,Truck Propane LD,Propane-Powered Long Distance Truck,Camion longue distance au propane,Freight transport,Road,,tkm/h,#C67139
TRUCK_SH_BIODIESEL_B100,Truck BioDiesel SD,100% BioDiesel-Powered Short Distance Truck,Camion courte distance au biodiesel 100%,Freight transport,Road,CA,tkm/h,#9C6B16
TRUCK_SH_BIODIESEL_B20,Truck BioDiesel 20% SD,20% BioDiesel-Powered Short Distance Truck,Camion courte distance au biodiesel 20%,Freight transport,Road,CA,tkm/h,#DC971F
TRUCK_SH_CNG,Truck CNG SD,Compressed Natural Gas-Powered Short Distance Truck,Camion courte distance au gaz naturel comprimé,Freight transport,Road,CA,tkm/h,#506F85
TRUCK_SH_CSNG,Truck CSNG SD,Compressed Synthetic Natural Gas-Powered Short Distance Truck,Camion courte distance au gaz naturel synthétique comprimé,Freight transport,Road,CA,tkm/h,#ACB7BE
TRUCK_SH_DIESEL,Truck Diesel SD,Diesel-Powered Short Distance Truck,Camion courte distance au diesel,Freight transport,Road,CA,tkm/h,#A65D1D
TRUCK_SH_EV,Truck Electric SD,Electric-Powered Short Distance Truck,Camion courte distance électrique,Freight transport,Road,CA,tkm/h,#FFDF2C
TRUCK_SH_FC_CH4,Truck Methane FC SD,Methane Fuel Cell-Powered Short Distance Truck,Camion courte distance à pile à combustible méthane,Freight transport,Road,CA,tkm/h,#5AC9CF
TRUCK_SH_GASOLINE,Truck Gasoline SD,Gasoline-Powered Short Distance Truck,Camion courte distance à essence,Freight transport,Road,CA,tkm/h,#D46336
TRUCK_SH_HY_DIESEL,Truck Hybrid Diesel SD,Diesel Hybrid Short Distance Truck,Camion courte distance hybride diesel,Freight transport,Road,CA,tkm/h,#9CD24A
TRUCK_SH_PROPANE,Truck Propane SD,Propane-Powered Short Distance Truck,Camion courte distance au propane,Freight transport,Road,,tkm/h,#CE8757
TRUCK_SNG,Truck SNG,Compressed Natural Gas-Powered Truck,Camion au gaz naturel comprimé,Freight transport,Road,,tkm/h,#597C94
UNMINEABLE_COAL_SEAM,Unmineable Coal Seam,Sequestration of CO2 in Unmineable Coal Seams,Séquestration du CO2 dans les veines de charbon inexploitables,CCUS,Sequestration,,ktCO2_eq/h,#CEEBF1
URANIUM,Uranium,Uranium,Uranium,Resource,Resource,,kWh,#6F2A6F
WASTE,Waste,Organic and Paper Waste,Déchets organiques et papier,Resource,Resource,,kWh,#D97706
WASTE_BIO,Biogenic waste,Biogenic waste,Déchets biogéniques,Resource,Resource,,kWh,#815931
WASTE_FOS,Fossil waste,Fossil waste,Déchets fossiles,Resource,Resource,,kWh,#666666
WET_BIOMASS,Wet biomass,"Wet Biomass Waste from Industry, Agriculture and Municipalities",Déchets de biomasse humide,Resource,Resource,,kWh,#B45309
WIND,Wind,Wind Energy ,Énergie éolienne,Electricity Production,Wind,,kW,#34B294
WIND_OFFSHORE,Wind Offshore,Wind Energy Offshore,Éoliennes en mer,Electricity Production,Wind,,kW,#75D7C0
WIND_ONSHORE,Wind Onshore,Existing Wind Energy Onshore,Éoliennes terrestres existantes,Electricity Production,Wind,,kW,#1D6352
WOOD,Wood,"Waste Wood from Industry, Agriculture and Forestry",Bois résiduel,Resource,Resource,,kWh,#14532D
WOOD_METHANOL,Wood to Methanol,Conversion of Wood to Methanol,Conversion du bois en méthanol,Specific sectors,Chemical,,kt/h,#A7F3D0
XYLENE,Xylene,Xylene,Xylène,Resource,Resource,,kWh,#B9B3CC
BULK_CARRIER,Bulk carrier HFO,Oil-Powered Bulk Carrier Ship,Vraquier au mazout,Freight transport,Maritime,CA,tkm/h,#653A1D
BULK_CARRIER_MEOH,Bulk carrier Methanol,Methanol-Powered Bulk Carrier Ship,Vraquier au méthanol,Freight transport,Maritime,CA,tkm/h,#BE185D
CONTAINER,Container HFO,Oil-Powered Container Ship,Porte-conteneurs au mazout,Freight transport,Maritime,CA,tkm/h,#6E3F20
CONTAINER_MEOH,Container Methanol,Methanol-Powered Container Ship,Porte-conteneurs au méthanol,Freight transport,Maritime,CA,tkm/h,#DB2777
OIL_TANKER,Oil tanker HFO,Oil-Powered Oil Tanker Ship,Pétrolier au mazout,Freight transport,Maritime,CA,tkm/h,#774422
OIL_TANKER_MEOH,Oil tanker Methanol,Methanol-Powered Oil Tanker Ship,Pétrolier au méthanol,Freight transport,Maritime,CA,tkm/h,#F472B6
BULK_CARRIER_BIO,Bulk carrier BioHFO,BioOil-Powered Bulk Carrier Ship,Vraquier à la biohuile,Freight transport,Maritime,CA,tkm/h,#677833
BULK_CARRIER_BIOMEOH,Bulk carrier BioMethanol,BioMethanol-Powered Bulk Carrier Ship,Vraquier au biométhanol,Freight transport,Maritime,CA,tkm/h,#FB7185
CONTAINER_BIO,Container BioHFO,BioOil-Powered Container Ship,Porte-conteneurs à la biohuile,Freight transport,Maritime,CA,tkm/h,#728539
CONTAINER_BIOMEOH,Container BioMethanol,BioMethanol-Powered Container Ship,Porte-conteneurs au biométhanol,Freight transport,Maritime,CA,tkm/h,#B92762
OIL_TANKER_BIO,Oil tanker BioHFO,BioOil-Powered Oil Tanker Ship,Pétrolier à la biohuile,Freight transport,Maritime,CA,tkm/h,#7D913E
